,1,2,3,4,5,6,7,8,9,10,11,12
A,0.076,0.513,0.072,0.480,0.394,0.522,0.108,0.558,0.524,0.252,0.072,0.487
B,0.068,0.523,0.256,0.469,0.420,0.446,0.367,0.486,0.433,0.446,0.411,0.515
C,0.470,0.412,0.489,0.427,0.457,0.474,0.465,0.490,0.481,0.456,0.448,0.508
D,0.131,0.470,0.505,0.439,0.496,0.470,0.471,0.450,0.459,0.469,0.474,0.451
E,0.535,0.454,0.484,0.434,0.439,0.437,0.447,0.451,0.467,0.447,0.394,0.491
F,0.499,0.470,0.490,0.455,0.442,0.441,0.430,0.437,0.432,0.463,0.472,0.495
G,0.385,0.440,0.454,0.429,0.450,0.410,0.432,0.440,0.446,0.450,0.465,0.494
H,0.425,0.459,0.442,0.427,0.447,0.419,0.416,0.446,0.456,0.479,0.462,0.315



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol,abs_600
Assay,abs_600
Sample Wavelength (nm),600
Serial No.,BYOMAA00025
Measurement started at,Wed Jan 28 14:58:16 2026
Measurement finished at,Wed Jan 28 14:58:18 2026



